num	image	title
108	../doomtowndb/05_files/01108.jpg	Bottom Dealin'
109	../doomtowndb/05_files/01109.jpg	Make the Smart Choice
110	../doomtowndb/05_files/01110.jpg	Tresspassin'
111	../doomtowndb/05_files/01111.jpg	Auction
112	../doomtowndb/05_files/01112.jpg	The Stakes Just Rose
113	../doomtowndb/05_files/01113.jpg	Sun in Yer Eyes
114	../doomtowndb/05_files/01114.jpg	Ambush
115	../doomtowndb/05_files/01115.jpg	Coachwhip!
116	../doomtowndb/05_files/01116.jpg	War Paint
117	../doomtowndb/05_files/01117.jpg	Bad Company
118	../doomtowndb/05_files/01118.jpg	Hiding in the Shadows
119	../doomtowndb/05_files/01119.jpg	Pistol Whip
120	../doomtowndb/05_files/01120.jpg	Concealed Weapons
121	../doomtowndb/05_files/01121.jpg	Hot Lead Flyin'
122	../doomtowndb/05_files/01122.jpg	One Good Turn…
123	../doomtowndb/05_files/01123.jpg	Kidnappin'
124	../doomtowndb/05_files/01124.jpg	Pinned Down
125	../doomtowndb/05_files/01125.jpg	Run 'Em Down!
126	../doomtowndb/05_files/01126.jpg	Bounty Hunter
127	../doomtowndb/06_files/01127.jpg	Reserves
128	../doomtowndb/06_files/01128.jpg	Rumors
129	../doomtowndb/06_files/01129.jpg	Cheatin' Varmint
130	../doomtowndb/06_files/01130.jpg	Fresh Horses
131	../doomtowndb/06_files/01131.jpg	Magical Distraction
132	../doomtowndb/06_files/01132.jpg	Extortion
133	../doomtowndb/06_files/01133.jpg	Recruitment Drive
134	../doomtowndb/06_files/01134.jpg	Unprepared
135	../doomtowndb/06_files/01135.jpg	A Coach Comes to Town
136	../doomtowndb/06_files/01136.jpg	Hex Slingin'
137	../doomtowndb/06_files/01137.jpg	This is a Holdup!
138	../doomtowndb/06_files/01138.jpg	Clear Out!
139	../doomtowndb/06_files/01139.jpg	Missed!
140	../doomtowndb/06_files/01140.jpg	Takin' Ya With Me
141	../doomtowndb/06_files/01141.jpg	Good Stiff Drink
142	../doomtowndb/06_files/01142.jpg	Point Blank
143	../doomtowndb/06_files/01143.jpg	A Secret Tunnel
144	../doomtowndb/06_files/01144.jpg	Joker (red)
145	../doomtowndb/06_files/01145.jpg	Joker (black)
146	../doomtowndb/06_files/01146.jpg	Gunslinger
